Land-ID,Version,Flagge,Name,Generieren,ShapeId,Hinweistext,Tmp 1,Tmp 2,Signatur,Clustergröße,Rechtwinklig?,Rahmen?,Gösch?,Dreieck von links?,Die Dreiecksform(en) bestehen aus wie vielen Farben?,Hintergrundtyp,W-Streifen,3W,5W,S-Streifen,S-Anordnung,Kreuzausrichtung,Kreuzarme,Diagonal Richtung,Diagonal Anzahl Streifen,SW Streifen,Spezial,Hintergrundfarben,E1,E1 Position,E1 Farbe,E1 Anzahl,E2,E2 Position,E2 Farbe,E2 Anzahl,E3,E3 Position,E3 Farbe,E3 Anzahl,E4,E4 Position,E4 Farbe,E4 Anzahl,Gösch Farbe,Dreieck Farbe,Rahmen Farbe,Emblem,,
169,,,Slowakei,,,,../images/pictures/flags96/Slovakia.jpg,Slovakia,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,,Emblem,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
170,,,Slowenien,,,,../images/pictures/flags96/Slovenia.jpg,Slovenia,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,,Emblem,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
171,,,Somalia,,,,../images/pictures/flags96/Somalia.jpg,Somalia,1|0|0|0|x|4|x|x|x|x|x|x|x|x|x|x|x,24,1,0,0,0,x,4,x,x,x,x,x,x,x,x,x,x,x,Hellblau,Stern,4,Weiß,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
172,,,Somaliland,,,,,,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,,Stern,4,Schwarz,1,Schrift,1,Weiß,x,x,x,x,x,x,x,x,x,x,x,x,,,
173,,,Spanien,,,,../images/pictures/flags96/Spain.jpg,Spain,1|0|0|0|x|0|3|1|x|x|x|x|x|x|x|x|x,8,1,0,0,0,x,0,3,1,x,x,x,x,x,x,x,x,x,,Emblem,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
174,,,Sri Lanka,,,,../images/pictures/flags96/Sri_Lanka.jpg,Sri_Lanka,1|1|0|0|x|1|x|x|x|4|2|x|x|x|x|x|x,1,1,1,0,0,x,1,x,x,x,4,2,x,x,x,x,x,x,,Löwe,5,Gelb,x,Blatt,9,Gelb,4,x,x,x,x,x,x,x,x,x,x,Gelb,,,
175,,,St. Kitts und Nevis,,,,../images/pictures/flags96/Saint_Kitts_and_Nevis.jpg,Saint_Kitts_and_Nevis,1|0|0|x|x|3|x|x|x|x|x|x|x|0|3|x|x,4,1,0,0,x,x,3,x,x,x,x,x,x,x,0,3,x,x,,Stern,9,Weiß,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
176,,,St. Lucia,,,,../images/pictures/flags96/Saint_Lucia.jpg,Saint_Lucia,1|0|0|0|x|4|x|x|x|x|x|x|x|x|x|x|x,24,1,0,0,0,x,4,x,x,x,x,x,x,x,x,x,x,x,,Emblem,4,Weiß|Schwarz|Gelb,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
177,,,St. Vincent und die Grenadinen,,,,../images/pictures/flags96/Saint_Vincent_and_the_Grenadines.jpg,Saint_Vincent_and_the_Grenadines,1|0|0|0|x|1|x|x|x|3|1|x|x|x|x|x|x,2,1,0,0,0,x,1,x,x,x,3,1,x,x,x,x,x,x,,Emblem,4,Grün,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
178,,,Südafrika,,,,../images/pictures/flags96/South_Africa.jpg,South_Africa,1|0|0|4|4|0|2|x|x|x|x|x|x|x|x|x|x,1,1,0,0,4,4,0,2,x,x,x,x,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
179,,,Sudan,,,,../images/pictures/flags96/Sudan.jpg,Sudan,1|0|0|1|1|0|3|0|x|x|x|x|x|x|x|x|x,6,1,0,0,1,1,0,3,0,x,x,x,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
180,,,Südkorea,,,,../images/pictures/flags96/South_Korea.jpg,South_Korea,1|0|0|0|x|4|x|x|x|x|x|x|x|x|x|x|x,24,1,0,0,0,x,4,x,x,x,x,x,x,x,x,x,x,x,,Kreis,4,Rot|Blau,x,Emblem,9,Schwarz,x,x,x,x,x,x,x,x,x,x,x,x,,,
181,,,Südossetien,,,,,,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
182,,,Südsudan,,,,../images/pictures/flags96/South_Sudan.jpg,South_Sudan,1|0|0|1|1|0|5|x|2-1-2-1-2|x|x|x|x|x|x|x|x,1,1,0,0,1,1,0,5,x,2-1-2-1-2,x,x,x,x,x,x,x,x,,Stern,3,Gelb,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
183,,,Suriname,,,,../images/pictures/flags96/Suriname.jpg,Suriname,1|0|0|0|x|0|5|x|2-1-3-1-2|x|x|x|x|x|x|x|x,3,1,0,0,0,x,0,5,x,2-1-3-1-2,x,x,x,x,x,x,x,x,,Stern,4,Gelb,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
184,,,Syrien,,,,../images/pictures/flags96/Syria.jpg,Syria,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,,Stern,9,Grün,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
185,,,Tadschikistan,,,,../images/pictures/flags96/Tajikistan.jpg,Tajikistan,1|0|0|0|x|0|3|1|x|x|x|x|x|x|x|x|x,8,1,0,0,0,x,0,3,1,x,x,x,x,x,x,x,x,x,,Krone,4,Gelb,x,Stern,4,Gelb,7,x,x,x,x,x,x,x,x,x,x,x,,,
186,,,Taiwan,,,,../images/pictures/flags96/Taiwan.jpg,Taiwan,1|0|1|0|x|4|x|x|x|x|x|x|x|x|x|x|x,10,1,0,1,0,x,4,x,x,x,x,x,x,x,x,x,x,x,,Sonne,0,Weiß,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
187,,,Tansania,,,,../images/pictures/flags96/Tanzania.jpg,Tanzania,1|0|0|x|x|3|x|x|x|x|x|x|x|0|3|x|x,4,1,0,0,x,x,3,x,x,x,x,x,x,x,0,3,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
188,,,Thailand,,,,../images/pictures/flags96/Thailand.jpg,Thailand,1|0|0|0|x|0|5|x|1-1-2-1-1|x|x|x|x|x|x|x|x,3,1,0,0,0,x,0,5,x,1-1-2-1-1,x,x,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
189,,,Togo,,,,../images/pictures/flags96/Togo.jpg,Togo,1|0|1|0|x|0|5|x|1-1-1-1-1|x|x|x|x|x|x|x|x,1,1,0,1,0,x,0,5,x,1-1-1-1-1,x,x,x,x,x,x,x,x,,Stern,0,Weiß,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
190,,,Tonga,,,,../images/pictures/flags96/Tonga.jpg,Tonga,1|0|1|0|x|4|x|x|x|x|x|x|x|x|x|x|x,10,1,0,1,0,x,4,x,x,x,x,x,x,x,x,x,x,x,,Kreuz,0,Rot,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
191,,,Transnistrien,,,,,,1|0|0|0|x|0|3|2|x|x|x|x|x|x|x|x|x,3,1,0,0,0,x,0,3,2,x,x,x,x,x,x,x,x,x,,Emblem,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
192,,,Trinidad und Tobago,1,middle small|1799|1608,,,,1|0|0|x|x|3|x|x|x|x|x|x|x|1|3|x|x,1,1,0,0,x,x,3,x,x,x,x,x,x,x,1,3,x,x,Rot|Weiß|Schwarz|Weiß|Rot,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
193,,,Tschad,,,,../images/pictures/flags96/Chad.jpg,Chad,1|0|0|0|x|1|x|x|x|3|0|x|x|x|x|x|x,20,1,0,0,0,x,1,x,x,x,3,0,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
194,,,Tschechien,,,,../images/pictures/flags96/Czech_Republic.jpg,Czech-Republic,1|0|0|1|1|0|2|x|x|x|x|x|x|x|x|x|x,3,1,0,0,1,1,0,2,x,x,x,x,x,x,x,x,x,x,Weiß|Rot|Blau,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
195,,,Tunesien,,,,../images/pictures/flags96/Tunisia.jpg,Tunisia,1|0|0|0|x|4|x|x|x|x|x|x|x|x|x|x|x,24,1,0,0,0,x,4,x,x,x,x,x,x,x,x,x,x,x,Rot,Kreis,4,Weiß,x,Mond,4,Rot,x,Stern,4,Rot,1,x,x,x,x,x,x,x,,,
196,,,Türkei,,,,../images/pictures/flags96/Turkey.jpg,Turkey,1|0|0|0|x|4|x|x|x|x|x|x|x|x|x|x|x,24,1,0,0,0,x,4,x,x,x,x,x,x,x,x,x,x,x,,Mond,3,Weiß,x,Stern,4,Weiß,1,x,x,x,x,x,x,x,x,x,x,x,,,
197,,,Turkmenistan,,,,../images/pictures/flags96/Turkmenistan.jpg,Turkmenistan,1|0|0|0|x|4|x|x|x|x|x|x|x|x|x|x|x,24,1,0,0,0,x,4,x,x,x,x,x,x,x,x,x,x,x,,Muster,3,x,x,Mond,1,Weiß,x,Stern,1,Weiß,5,x,x,x,x,x,x,x,,,
198,,,Tuvalu,,,,../images/pictures/flags96/Tuvalu.jpg,Tuvalu,1|0|1|0|x|4|x|x|x|x|x|x|x|x|x|x|x,10,1,0,1,0,x,4,x,x,x,x,x,x,x,x,x,x,x,,Union Jack,0,x,x,Stern,9,Gelb,9,x,x,x,x,x,x,x,x,x,x,x,,,
199,,,Uganda,1,,,,,1|0|0|0|x|0|6|x|x|x|x|x|x|x|x|x|x,1,1,0,0,0,x,0,6,x,x,x,x,x,x,x,x,x,x,Schwarz|Gelb|Rot|Schwarz|Gelb|Rot,Kreis,4,Weiß,x,Vogel,4,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
200,,,Ukraine,,,,../images/pictures/flags96/Ukraine.jpg,Ukraine,1|0|0|0|x|0|2|x|x|x|x|x|x|x|x|x|x,13,1,0,0,0,x,0,2,x,x,x,x,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
201,,,Ungarn,,,,../images/pictures/flags96/Hungary.jpg,Hungary,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
202,,,Uruguay,1,,,,,1|0|1|0|x|0|9|x|x|x|x|x|x|x|x|x|x,2,1,0,1,0,x,0,9,x,x,x,x,x,x,x,x,x,x,Blau|Weiß,Sonne,0,Gelb,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
203,,,Usbekistan,1,,,,,1|0|0|0|x|0|5|x|2-1-2-1-2|x|x|x|x|x|x|x|x,2,1,0,0,0,x,0,5,x,2-1-2-1-2,x,x,x,x,x,x,x,x,Hellblau|Rot|Weiß|Rot|Hellblau,Mond,0,Weiß,x,Stern,0,Weiß,12,x,x,x,x,x,x,x,x,x,x,x,,,
204,,,Vanuatu,1,,,,,1|0|0|4|2|0|2|x|x|x|x|x|x|x|x|x|x,1,1,0,0,4,2,0,2,x,x,x,x,x,x,x,x,x,x,Rot|Grün,Emblem,3,Gelb,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Schwarz|Gelb,x,,,
205,,,Vatikanstadt,1,middle small|3013|980,,,,2|0|0|0|x|1|x|x|x|2|0|x|x|x|x|x|x,1,2,0,0,0,x,1,x,x,x,2,0,x,x,x,x,x,x,Gelb|Weiß,Emblem,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
206,,,Venezuela,1,,,,,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,Gelb|Blau|Rot,Stern,4,Weiß,8,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
207,,,Vereinigte Arabische Emirate,1,,,,,1|0|0|0|x|5|x|x|x|x|x|x|x|x|x|3|x,2,1,0,0,0,x,5,x,x,x,x,x,x,x,x,x,3,x,Rot|Grün|Weiß|Schwarz,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
208,,,Vereinigte Staaten,,,,../images/pictures/flags96/United_States.jpg,United_States,1|0|1|0|x|0|13|x|x|x|x|x|x|x|x|x|x,1,1,0,1,0,x,0,13,x,x,x,x,x,x,x,x,x,x,,Stern,0,Weiß,50,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
209,,,Vereinigtes Königreich,,,,../images/pictures/flags96/United_Kingdom.jpg,United_Kingdom,1|0|0|x|x|2|x|x|x|x|x|2|2|x|x|x|x,1,1,0,0,x,x,2,x,x,x,x,x,2,2,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
210,,,Vietnam,,,,../images/pictures/flags96/Vietnam.jpg,Vietnam,1|0|0|0|x|4|x|x|x|x|x|x|x|x|x|x|x,24,1,0,0,0,x,4,x,x,x,x,x,x,x,x,x,x,x,,Stern,4,Gelb,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
211,,,Wales,,,,../images/pictures/flags96/Wales.jpg,Wales,1|0|0|0|x|0|2|x|x|x|x|x|x|x|x|x|x,13,1,0,0,0,x,0,2,x,x,x,x,x,x,x,x,x,x,,Drache,4,Rot,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
212,,,Westsahara,,,,,,1|0|0|1|1|0|3|0|x|x|x|x|x|x|x|x|x,6,1,0,0,1,1,0,3,0,x,x,x,x,x,x,x,x,x,,Mond,4,Rot,x,Stern,4,Rot,1,x,x,x,x,x,x,x,x,x,x,x,,,
213,,,Zentralafrikanische Republik,,,,../images/pictures/flags96/Central_African_Republic.jpg,Central_African_Republic,1|0|0|0|x|7|x|x|x|x|x|x|x|x|x|x|3,1,1,0,0,0,x,7,x,x,x,x,x,x,x,x,x,x,3,,Stern,0,Gelb,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
214,,,Zypern,,,,../images/pictures/flags96/Cyprus.jpg,Cyprus,1|0|0|0|x|4|x|x|x|x|x|x|x|x|x|x|x,24,1,0,0,0,x,4,x,x,x,x,x,x,x,x,x,x,x,,Zweig,7,Grün,x,Landumriss,1,Gelb,x,x,x,x,x,x,x,x,x,x,x,x,,,
